"smurff","dead"
199.20200715925,200.744908773573
700.779235644499,707.163699790137
686.053457062402,703.274600276491
656.233102941266,670.581936644856
744.780453749001,767.456911496818
560.621543477755,628.119053607807
679.80523567996,724.274567779154
556.266416555565,570.026260303799
760.246810168028,808.133193508489
340.327980485503,352.081586931832
542.503666940431,546.547455594409
437.489542318524,447.338791297749
155.723938080482,195.591447649524
130.383500671014,174.57783466205
19.1035017794773,20.6658997319173
369.056106848642,392.991882620379
487.073445521436,488.618779497454
161.5444826358,179.246923227794
694.311702148523,704.371105165221
191.795284491498,264.878838574979
543.756909224205,579.458074705675
582.60975536122,622.191090142354
491.40837258799,511.704399672803
578.796912487131,608.803708527237
708.159715042682,749.974124738947
253.105413764017,313.174761808943
393.361842919658,396.00321114948
442.625666481967,444.739512471948
153.669523910034,162.482245219871
227.447455269412,237.750456028618
381.233832570998,382.307542270049
634.706929776268,640.75745408237
693.343361614482,715.208570238901
47.9287792611867,350.362386670895
94.6606512628496,205.343551221304
665.40808317256,674.517829681048
99.2306567598134,111.571844238788
137.089665172622,164.722964761313
449.458166574128,558.852020902093
686.50305289299,700.679803461768
618.268594161593,621.769559560344
61.8085354464129,136.438949681818
653.545087404549,703.257892174879
690.310529998395,701.404045023955
696.509903594705,698.198530294467
599.073531237588,600.721774180885
513.794729347048,515.365951022599
257.462285658577,296.656749673653
64.5964363365628,69.4456527214497
126.978196302895,171.21322180843
526.760613169621,528.607992138481
481.072363021784,483.960337266093
698.796160977567,799.108684064355
641.861377781724,642.674204040319
607.355865895774,616.486720202491
396.711464575026,427.132471381221
354.772204404697,369.382127013057
584.447793514468,658.661669338122
561.637226567871,575.490987290163
296.173195014203,304.670347760431
413.121124001453,441.757912294939
512.31225466565,526.742225708207
436.383362570247,436.84323224728
680.7669948227,683.443567861337
514.267801851733,548.720267902128
589.287157167131,590.092086092802
26.5296352646854,32.2415576595813
682.894988950608,699.55130743701
296.727176703513,323.024317971431
578.517121808138,591.336199120618
730.835005830973,808.576980091166
776.889658354688,838.699360016035
242.91719999794,260.807663209736
565.72144760564,589.254147291416
145.151886492333,165.657372020651
677.999097842014,698.327533931471
466.06534962726,481.06213225238
290.86696688115,294.510580384638
578.318084941013,697.638370502973
263.071757614845,753.263501843438
3.65252364031145,15.2998672742397
751.356272579626,756.347052900121
658.864492370191,662.075149842538
748.699543778218,758.671658784151
389.88778035486,391.248710819753
15.9636138982408,21.7217248049565
793.978864026722,814.532255144557
752.898373937234,814.79755630577
560.374810419045,587.210117855808
167.601949681994,176.530778299551
25.0718313703792,30.4487040326931
517.809030317934,548.298183009494
899.971605190434,907.004907954019
561.245045465102,562.451486863196
645.300287261605,669.357680530054
487.392845158,513.126978962449
351.596646356396,407.260143535212
753.941168537724,754.493783447891
752.646190561354,772.412311726715
726.589862872511,739.07628306374
844.14903411337,844.76501246891
21.2122098659165,35.0944557015318
726.988213595171,736.228742282838
221.475154572331,238.09843180608
589.347241020529,619.068309163675
416.428153760275,419.119130803039
775.530611256552,791.894397481345
531.58129286929,542.859891768545
694.336471968231,708.736066689249
516.700506890776,523.215245237574
268.291985760487,282.099469950655
768.931475192308,777.088716651313
7.33472787248415,17.4224142946769
256.351821108721,329.135246898513
283.518732943106,312.384207888972
588.993734929012,618.660295143723
682.908700901084,734.38510927558
779.082333051829,782.032896240707
513.820127166853,524.632931335131
668.584420705447,814.684367944952
345.028287251269,346.301551507786
40.7508334645536,49.9096995266154
76.4502198514529,578.904417508049
559.984145222232,615.07129455544
580.722580695908,583.599766945932
207.8676409123,237.880475657526
560.654131212046,564.392747411504
509.240438016467,510.978685992071
531.163140017074,541.183181819506
