"","x"
"353",6.7386885396871e-09
"354",6.55977751042332e-09
"355",6.71437972809488e-09
"356",6.55695194460639e-09
"357",6.84939878837218e-09
"358",7.03188398186553e-09
"359",6.8051922445493e-09
"360",6.82763696977698e-09
"361",7.02489373611318e-09
"362",6.93483126348572e-09
"363",7.29274364527237e-09
"364",6.79259572590798e-09
"365",7.00491408020376e-09
"366",7.10215512309794e-09
"367",6.98989864190414e-09
"368",7.20486452210076e-09
"369",7.04477561600336e-09
"370",6.93827496827752e-09
"371",7.35536395399453e-09
"372",7.03244906334298e-09
"373",7.34976258254527e-09
"374",7.02387696234056e-09
"375",7.1165253002603e-09
"376",7.23429575132062e-09
"377",7.4293807794317e-09
"378",7.20186563830766e-09
"379",7.40965447784285e-09
"380",7.6641151855236e-09
"381",7.44971079865592e-09
"382",7.28675919162555e-09
"383",7.48548352488581e-09
"384",7.6215834556625e-09
"385",7.65804324303803e-09
"386",7.54862111563248e-09
"387",7.54980899684091e-09
"388",7.71690315666358e-09
"389",7.65845775669447e-09
"390",7.65959339727498e-09
"391",7.5928307175121e-09
"392",8.00553714640598e-09
"393",7.70634952083766e-09
"394",7.86738359383413e-09
"395",8.11038908948645e-09
"396",8.17347688947594e-09
"397",7.82733004900635e-09
"398",8.05784046130213e-09
"399",8.31740368858192e-09
"400",8.15932977212027e-09
"401",8.19332118214696e-09
"402",8.72004104003287e-09
"403",8.20818979010391e-09
"404",7.86070407013574e-09
"405",8.64414809908969e-09
"406",7.55450368104697e-09
"407",8.34208240621193e-09
"408",8.12775311621414e-09
"409",8.56283511682875e-09
"410",8.2662384715783e-09
"411",8.89396395467474e-09
"412",8.48940734322847e-09
"413",8.6253218037126e-09
"414",8.50508032462848e-09
"415",8.36676049931492e-09
"416",8.61199163541704e-09
"417",8.9237789292761e-09
"418",8.97044462072286e-09
"419",9.41141296679613e-09
"420",8.63477701787197e-09
"421",9.10953555380704e-09
"422",9.22220062920973e-09
"423",9.10002767046876e-09
"424",9.48681551437483e-09
"425",9.6719329156626e-09
"426",9.57844465451042e-09
"427",8.95707174749833e-09
"428",1.00507566597056e-08
"429",9.38748989012863e-09
"430",9.40887601533749e-09
"431",9.82847169720353e-09
"432",9.27616604375609e-09
"433",9.75317938954023e-09
"434",9.79196078359588e-09
"435",9.87145359344913e-09
"436",1.00707469167148e-08
"437",9.58263664097217e-09
"438",9.91315029578061e-09
"439",1.00989604740804e-08
"440",1.0027764187576e-08
"441",1.04344714759253e-08
"442",9.78984496092107e-09
"443",1.04126121820305e-08
"444",1.02755992858231e-08
"445",1.03982877485299e-08
"446",1.02726091247346e-08
"447",1.03268917642262e-08
"448",1.06788760626624e-08
"449",1.07902994909582e-08
"450",1.04976227037836e-08
"451",1.03802070064852e-08
"452",1.05881843044338e-08
"453",1.062405921366e-08
"454",1.14685750595177e-08
"455",1.11995296697147e-08
"456",1.12945749722803e-08
"457",1.09900517731272e-08
"458",1.1231003841206e-08
"459",1.16338218987849e-08
"460",1.12770403657176e-08
"461",1.14289346551339e-08
"462",1.18886453785741e-08
"463",1.16681632494723e-08
"464",1.2751214995191e-08
"465",1.17363906726047e-08
"466",1.1804214399456e-08
"467",1.14651331363519e-08
"468",1.18318368331842e-08
"469",1.17057310261938e-08
"470",1.21355806766252e-08
"471",1.20563296652837e-08
"472",1.18457759480035e-08
"473",1.20871339912816e-08
"474",1.2562055362548e-08
"475",1.25049753346501e-08
"476",1.29294634061314e-08
"477",1.24053702388889e-08
"478",1.26642287843127e-08
"479",1.24712376925853e-08
"480",1.29173082946779e-08
"481",1.28719550024132e-08
"482",1.30349435706324e-08
"483",1.28665546291648e-08
"484",1.30228259624673e-08
"485",1.32520094112135e-08
"486",1.32852192023437e-08
"487",1.36582453375562e-08
"488",1.39091111691509e-08
"489",1.35076082924167e-08
"490",1.32986671287281e-08
"491",1.4094528369922e-08
"492",1.3902138516188e-08
"493",1.39869829091232e-08
"494",1.40661392733997e-08
"495",1.38714940580479e-08
"496",1.44111829661404e-08
"497",1.42062638495647e-08
"498",1.44899744651256e-08
"499",1.49908406692688e-08
"500",1.42547529608593e-08
"501",1.47952527458361e-08
"502",1.45557945418895e-08
"503",1.49091719750173e-08
"504",1.50412997766123e-08
"505",1.53703596539717e-08
"506",1.42948598709212e-08
"507",1.59478852841131e-08
"508",1.5389915961953e-08
"509",1.48158149308334e-08
"510",1.52237238578848e-08
"511",1.56636414201035e-08
"512",1.62600530791969e-08
"513",1.61217706676676e-08
"514",1.67074301981295e-08
"515",1.6069900489324e-08
"516",1.64023429731908e-08
"517",1.63571226958203e-08
"518",1.71949284849408e-08
"519",1.60342092792092e-08
"520",1.63892544267826e-08
"521",1.7210023265635e-08
"522",1.56728273665376e-08
"523",1.70841686089169e-08
"524",1.61782997214169e-08
"525",1.69570791122738e-08
"526",1.81098290319576e-08
"527",1.73577208534276e-08
"528",1.84730772600044e-08
"529",1.82076359820742e-08
"530",1.81177340709371e-08
"531",1.82900366269414e-08
"532",1.78707947139209e-08
"533",1.81951070853739e-08
"534",1.80725192040744e-08
"535",1.8328048375794e-08
"536",1.82138964143043e-08
"537",1.92453805786379e-08
"538",1.88783233867495e-08
"539",1.82143130533055e-08
"540",1.88499474846825e-08
"541",1.90822116515103e-08
"542",1.87444043502369e-08
"543",1.98595038062283e-08
"544",2.00392190537469e-08
"545",1.96196656936121e-08
"546",1.94255567937682e-08
"547",2.06902218609806e-08
"548",1.98250035379602e-08
"549",2.04164480670206e-08
"550",2.02735140983976e-08
"551",2.11928000160476e-08
"552",2.09021523331641e-08
"553",2.12209157298641e-08
"554",2.04964578073313e-08
"555",2.15092702432171e-08
"556",2.25529735204092e-08
"557",2.17840484639235e-08
"558",2.1606481783837e-08
"559",2.31048282009912e-08
"560",2.13486063650015e-08
"561",2.22127006836886e-08
"562",2.24431088410352e-08
"563",2.29082034933143e-08
"564",2.23121067932368e-08
"565",2.30308717100928e-08
"566",2.35344400718087e-08
"567",2.40235591817988e-08
"568",2.40746521008406e-08
"569",2.37472882784142e-08
"570",2.3507775197197e-08
"571",2.51461508152889e-08
"572",2.37862660180505e-08
"573",2.53282740921676e-08
"574",2.50893669316463e-08
"575",2.43777875724558e-08
"576",2.4498687028324e-08
"577",2.5394354419784e-08
"578",2.61033413978455e-08
"579",2.60701731726913e-08
"580",2.61130757025567e-08
"581",2.57537657244723e-08
"582",2.62298053800776e-08
"583",2.64897741901512e-08
"584",2.7243012008512e-08
"585",2.70252937792699e-08
"586",2.69450178426545e-08
"587",2.82446176092603e-08
"588",2.88430641396131e-08
"589",2.92371056815873e-08
"590",2.84510677690992e-08
"591",2.84387044967381e-08
"592",2.99739225144861e-08
"593",2.81040273052571e-08
"594",2.95027103418236e-08
"595",2.81671938314892e-08
"596",2.94666902223418e-08
"597",3.08413497574899e-08
"598",2.99373561080081e-08
"599",3.11130888382197e-08
"600",3.07797072724928e-08
"601",3.15587031423353e-08
"602",3.16466376996963e-08
"603",3.11304549959555e-08
"604",3.06225001893736e-08
"605",3.16551943550944e-08
"606",3.23615853044466e-08
"607",3.1630181759557e-08
