m	v	0	21	24	27	45	47	69	79	93	103	120	127	141	144	145	169	172	175	189	193	197	216	217	220	242	262	266	267	288	289	291	305	315	330	335	340	356	364	368	380	388	389	407	413	431	436	438	451	461	462	476	482	486	498	509	511	523	534	535	547	556	560	577	582	601	604	609	619	628	633	648	652	672	675	681	693	704	718	724	729	742	748	772	753	778	762	790	798	802	814	817	826	835	844	851	857	863	880	899	907	932	937	955	960	971	979	992	1013	1019
25	24																							s?		s																																																												sd																								
25	25											sd																																																																																																		
25	26			s																				sd																																																																																						
25	27											s?					s									sd																																																																																				
25	28	sd																																																																																																												
25	29																											s															sd																																																																			
25	30																																																					s			sd																																																					
26	1			s												sd																																																																																														
26	2			s								sd																																																																																																		
26	3																																				s?		ns																		s			sd																																																		
26	4																																																																											sd																																		
26	5																							s										ns																							s			sd																																																		
26	6																																				s?																																							sd																																		
26	7																				s?					ns								s																				ns									s																		sd																													
26	8																s?							ns				s				sd																																																																														
26	9																															s																						sd																																																								
26	10											sd																																																																																																		
26	11																																	s																				sd																																																								
26	12																																				s																	ns																	sd																																							
26	13																s							ns				s																																																									sd																									
26	14	s																																																													ns					s								sd																																		
26	15			s								sd																																																																																																		
26	16																s?							ns													s																																																	sd																								
26	17																									s								ns																																															s									sd																				
26	18																				s?					ns											s																	ns			s														sd																																							
26	19																s?							ns																					s			ns																				s																									sd																	
26	20											s				sd																																																																																														
26	21	s										sd																																																																																																		
26	22																							s?										s																				ns			s																								sd																													
26	23																																																					sd																																																								
26	24			s																																									sd																																																																	
26	25																																																		s																				sd																																							
26	26																																																																																					s										sd														
26	27																																				s?		ns				s					ns																												s																				sd														
26	28																																				s																				sd																																																					
26	29																																																																																					s							sd																	
26	30																																																																																				s	sd																								
27	1																s?															s																						sd																																																								
27	2																																						s																		sd																																																					
27	3			s												s?	s																	ns																							s																																							sd														
27	4																s				ns																		s?												s						sd																																																					
27	5																				s																						s?					ns									sd																																																					
27	6																				sd																																																																																									
27	7																sd																																																																																													
27	8																																																																																					sd																								
27	9											s																						sd																																																																												
27	10											s														sd																																																																																				
27	11																																										s?								s			sd																																																								
27	12																																				s?		sd																																																																							
27	13																																																																																												sd																	
27	14																							sd																																																																																						
27	15																							s																			s?														s														sd																																							
27	16			s								sd																																																																																																		
27	17																																																																						sd																																							
27	18											s																sd																																																																																		
27	19																																																		s																														sd																													
27	20			s								sd																																																																																																		
27	21																s							sd																																																																																						
27	22																																																																																												s			sd														
27	23																									s																	ns								s			sd																																																								
27	24																																																																											sd																																		
27	25			s																																															sd																																																											
27	26																																																																																					s				sd																				
27	27											s?					s				sd																																																																																									
27	28																							sd																																																																																						
27	29																																				s																	ns																						s														sd																				
27	30																																																																																					s							sd																	
28	1																sd																																																																																													
28	2																s?				ns																		s																																																									sd														
28	3																				sd																																																																																									
28	4																																						s				ns																												s										sd																													
28	5																																																																											sd																																		
28	6																											s				sd																																																																														
28	7											s				sd																																																																																														
28	8																																																																											sd																																		
28	9																																																								s														sd																																							
28	10																																																																																					s							sd																	
28	11			s								sd																																																																																																		
28	12	sd																																																																																																												
28	13																s?									s																												sd																																																								
28	14																									s											sd																																																																									
28	15																				s?											ns							s									ns																				sd																																										
28	16																									s?						s																																				sd																																										
28	17																																																																			s																						sd																				
28	18																																																								s														ns					s					sd																													
28	19																															s?		s																							sd																																																					
28	20																s				sd																																																																																									
28	21																																																					s			ns														sd																																							
28	22																																				s		sd																																																																							
28	23	s																																sd																																																																												
28	24																				sd																																																																																									
28	25																							s?										s																																										sd																																		
28	26																							s				ns						s																	sd																																																											
28	27																																																														s								sd																																							
28	28																																																																											sd																																		
28	29																																																																																												s							sd										
28	30											s																																	sd																																																																	
29	1																s?				ns			s?																					s			ns																				s								sd																																		
29	2																							s				sd																																																																																		
29	3											sd																																																																																																		
29	4																							s?																					s						sd																																																											
29	5																															sd																																																																														
29	6																															sd																																																																														
29	7																																																								sd																																																					
29	8																																																																											s					sd																													
29	9											s?									ns																								s			ns									s																			sd																																		
29	10																																				s		sd																																																																							
29	11																sd																																																																																													
29	12																							sd																																																																																						
29	13																															s?							ns												s																				sd																																							
29	14			s?													s																																																											sd																																		
29	15																							s																			sd																																																																			
29	16																																																											s?								s								sd																																		
29	17			s								sd																																																																																																		
29	18	s										sd																																																																																																		
29	19											s																																																																					sd																													
29	20																							s?		ns																	s					ns																																													s			sd														
29	21																s																																																																				ns	s				sd																				
29	22																				s																																	sd																																																								
29	23											sd																																																																																																		
29	24																																																																											sd																																		
29	25																				sd																																																																																									
29	26																																	s			s?		s												sd																																																											
29	27																															s																ns															s																											sd																				
29	28																				s																		sd																																																																							
29	29											s?					ns																				s																				sd																																																					
29	30																																																																											s					ns				s					sd																				
30	1																											s						ns					s																								sd																																															
30	2	s										sd																																																																																																		
30	3											s?					s																																											sd																																																		
30	4	s																			sd																																																																																									
30	5	s														sd																																																																																														
30	6											sd																																																																																																		
30	7	s																																					sd																																																																							
30	8											s																											sd																																																																							
30	9	sd																																																																																																												
30	10	s																																																																					sd																																							
30	11			s																																															sd																																																											
30	12	s																																									sd																																																																			
30	13			s																	sd																																																																																									
30	14			s								sd																																																																																																		
30	15	s										sd																																																																																																		
30	16	sd																																																																																																												
30	17	sd																																																																																																												
30	18	sd																																																																																																												
30	19	sd																																																																																																												
30	20																																																							sd																																																						
30	21																																																	s?															sd																																													
30	22																								s	sd																																																																																				
30	23																																																																								sd																																					
30	24																																														s			sd																																																												
30	25																																																																					sd																																								
30	26																																																																										sd																																			
30	27																																																																													sd																																
30	28																																																										sd																																																			
30	29																														s			sd																																																																												
30	30																																																				s						sd																																																			
31	1																																																				sd																																																									
31	2																					s																												sd																																																												
31	3																																																							sd																																																						
31	4																																																										sd																																																			
31	5																		s?																																																sd																																											
31	6																																														s						sd																																																									
31	7																																			sd																																																																										
31	8										sl								sd																																																																																											
31	9																																																																								sd																																					
31	10																																																																										s									sd																										
31	11																																																							sl																						sd																																
31	12																																																																																																	sd												
31	13						s?																								sd																																																																															
31	14														s?										sd																																																																																					
31	15																								sd																																																																																					
31	16				s?																								sd																																																																																	
31	17																																																	s			sd																																																									
31	18																																																																													s					sd																											
31	19																								s?																	sd																																																																				
31	20																																														s?			sd																																																												
31	21																																																										s			sd																																																
31	22																																																																													sd																																
31	23																																																				sl						sd																																																			
31	24						s		sd																																																																																																					
31	25																																																																					sd																																								
31	26	s?																				sd																																																																																								
31	27										sd																																																																																																			
31	28				s?																																													sd																																																												
31	29																																																				sd																																																									
31	30																																																	sd																																																												
32	1																																																										sd																																																			
32	2	s?													sd																																																																																															
32	3																																																	s			sd																																																									
32	4																																																																sd																																													
32	5																					sd																																																																																								
32	6																																																																													sl																				sd												
32	7				s?																																			sd																																																																						
32	8																																														sd																																																															
32	9				s																																																																	sd																																								
32	10																																														sd																																																															
32	11						s?				sd																																																																																																			
32	12										s?																																																			sd																																																
32	13								s		sd																																																																																																			
32	14																																																							s?									sd																																													
32	15																																																																					s			sd																																					
32	16																									s			sd																																																																																	
32	17																												sd																																																																																	
32	18												sd																																																																																																	
32	19										s?		sd																																																																																																	
32	20																																																							sd																																																						
32	21																																																	sd																																																												
32	22																																																																								s					sd																																
32	23																																																																					sd																																								
32	24								s?													sd																																																																																								
32	25																																												sd																																																																	
32	26												s						sd																																																																																											
32	27																																																				s			sd																																																						
32	28																																																																																								sd																					
32	29																												sd																																																																																	
32	30																																																							sd																																																						
33	1						s																											sd																																																																												
33	2								sd																																																																																																					
33	3																																							sd																																																																						
33	4																																																				sl																																				sd																					
33	5																																																	s																																		sd																										
33	6																																			s?																															sd																																											
33	7																																																																sd																																													
33	8																		s?																												sd																																																															
33	9																																																																										s?														sd																					
33	10								s?																																				sd																																																																	
33	11																																																							sl																	sd																																					
33	12																																																																										sd																																			
33	13																									sd																																																																																				
33	14																																																							s									sd																																													
33	15																																																																		sd																																											
33	16																																																																sd																																													
33	17																																																				sd																																																									
33	18																																																																sd																																													
33	19																																																																					sd																																								
33	20																																																																													s					sd																											
33	21																																																																																			sl								sd																		
33	22																																																																					sl					sd																																			
33	23																																																																																			s																										
33	24																																																																		s?						sd																																					
33	25																																																																																																						sd							
33	26																																																																sl					sd																																								
33	27																														s			sd																																																																												
33	28																																	s?						sd																																																																						
33	29								s		sd																																																																																																			
33	30										s		sd																																																																																																	
34	1																																																										s																sd																																			
34	2																									sd																																																																																				
34	3																																																																													sl																	sd															
34	4												s		sd																																																																																															
34	5																																																																										s																																			
34	6																																																																															sl									sd																					
34	7														s?																			sd																																																																												
34	8																																																																																			s																			sd							
34	9				sd																																																																																																									
34	10																																																																																																						sd							
34	11																																																																																			sd																										
34	12																									sd																																																																																				
34	13																																																																																																						sd							
34	14																																																										sd																																																			
34	15																																																																								sd																																					
34	16																												sd																																																																																	
34	17																																																																													sd																																
34	18																								sd																																																																																					
34	19																																																																																																						sd							
34	20														s?										sd																																																																																					
34	21																																																																		sl																																				sd							
34	22								sd																																																																																																					
34	23																																																																																		sd																											
34	24																																																																													sl																				sd												
34	25																																							sd																																																																						
34	26																					sd																																																																																								
34	27								sd																																																																																																					
34	28										sd																																																																																																			
34	29								sd																																																																																																					
34	30																																																																																			s											sd															
34	1																																																	sd																																																												
35	2										s?																																																																								sd																											
35	3																																																																																																													
35	4																																																																								sd																																					
35	5																																																										s			sd																																																
35	6																																																																										sd																																			
35	7																																																							s			sd																																																			
35	8																																												sd																																																																	
35	9																																																										sd																																																			
35	10																																																							s			sd																																																			
35	11										s		sd																																																																																																	
35	12																																																																													sd																																
35	13																																							sld																																																																						
35	14																					sd																																																																																								
35	15								s		sd																																																																																																			
35	16																																																																																			s																			sd							
35	17																																	sd																																																																												
35	18																																																																s?		sd																																											
35	19								s?																																									sd																																																												
35	20								sd																																																																																																					
35	21																																																																sl																																	sd												
35	22								sd																																																																																																					
35	23																																																																		sd																																											
35	24																		s			sd																																																																																								
35	25																																																							sl									sd																																													
35	26																														sd																																																																															
35	27				s?																																																									sd																																																
35	28				s		sd																																																																																																							
35	29																																																																sl		sd																																											
35	30				s																																										sd																																																															
36	1																																																																													s											sd																					
36	2																																																	s?						sd																																																						
36	3																																																																s															sd																														
36	4								s?																																																																																						sd															
36	5																																																																																		sl												sd															
36	6																																																																								sld																																					
36	7																																																										s						sd																																													
36	8																																																																sd																																													
36	9																																																																		sl													sd																														
36	10												s?																sd																																																																																	
36	11																																																																								sd																																					
36	12																																												sd																																																																	
36	13																																																																													sd																																
36	14																																																																															s												sd																		
36	15																																	s																									sd																																																			
36	16																																	s?		sd																																																																										
36	17				s		sd																																																																																																							
36	18						s																																						sd																																																																	
36	19																																	s						sd																																																																						
36	20										s				sd																																																																																															
36	21												sd																																																																																																	
36	22																																														s?									sd																																																						
36	23																																																																																			s																			sd							
36	24										s		sd																																																																																																	
36	25						s?		sd																																																																																																					
36	26				s		sd																																																																																																							
36	27																																									s			sd																																																																	
36	28										s																		s?		ns											sd																																																																				
36	29																																																										s?																			sd																																
36	30																																	s?						s					sd																																																																	
37	1																																																																																			s																					sd					
37	2										s		sd																																																																																																	
37	3										s											s?			ns						s			sd																																																																												
37	4				s?		ns				s?								ns																																		sd																																																									
37	5																																			s				sd																																																																						
37	6																												sd																																																																																	
37	7																																							s		sd																																																																				
37	8																		s?						s	sd																																																																																				
37	9										s?		ns																sd																																																																																	
37	10																																							sd																																																																						
37	11																																																																					sl			sd																																					
37	12																																																				s			sd																																																						
37	13												s?													s			ns																					s?			sd																																																									
37	14																																																							s?									sd																																													
37	15																																							s										sd																																																												
37	16																																																				s?			sd																																																						
37	17																																																							sl																			sld																																			
37	18										s?														ns																																										s?						sl		sd																																			
37	19																																																																										sl			sd																																
37	20																																																							s			sd																																																			
37	21																																																							s?			sd																																																			
37	22												sd																																																																																																	
37	23																																			s																																																																										
37	24								s		sd																																																																																																			
37	25																														s			sd																																																																												
37	26										s		sd																																																																																																	
37	27																																							s																						sd																																																
37	28								sd																																																																																																					
37	29								sd																																																																																																					
37	30																																																																								sl		sd																																			
38	1																																																																													s																									sd							
38	2														s?											ns																								s									sd																																																			
38	3																																																										s			sd																																																
38	4																																																										sd																																																			
38	5																																																																sd																																													
38	6																								s	sd																																																																																				
38	7																																																										s?								sd																																											
38	8																																																																s					sd																																								
38	9								s																																																										sd																																											
38	10						s		sd																																																																																																					
38	11																																							sd																																																																						
38	12																																																																										sl																	sd																		
38	13																																																										sd																																																			
38	14																																																																																								sd																					
38	15																																																																													sl					sd																											
38	16																																																							sl											s			sd																																								
38	17																												s?		s			sd																																																																												
38	18																												sl							sd																																																																										
38	19				sd																																																																																																									
38	20																																																																																		sl	s					sd																					
38	21																														sd																																																																															
38	22																																																										sd																																																			
38	23																																																																															sd																														
38	24																																																										s			sd																																																
38	25																																																																																								sd																					
38	26																																														sd																																																															
38	27																																																																										sl																																			
38	28																																																																		s			sd																																								
38	29																									sd																																																																																				
38	30																																																																																		sd																											
39	1				s		sd																																																																																																							
39	2																																																																																																	sd												
39	3																																																																																		sd																											
39	4																																																																																			s					sd																					
39	5																																																																										s?									sd																										
39	6								s?																				ns					sl						s					sd																																																																	
39	7																																																				s?			s			sd																																																			
39	8																																																																								s		sd																																			
39	9																																																																sd																																													
39	10																																																																																																						sd							
39	11																																																							s?			s			sd																																																
39	12																																																																																																													
39	13						sd																																																																																																							
39	14																		sl			sd																																																																																								
39	15																					dns																																																																																								
39	16																																																													s?			s		sd																																											
39	17																																																																s?								sl											s								sd																		
39	18																																																																																								s			sd																		
39	19				sd																																																																																																									
39	20																																												sd																																																																	
39	21																																																																																			sd																										
39	22																																																																										sd																																			
39	23																																																																		sd																	sd																										
39	24				sd																																																																																																									
39	25				s?		ns		s?																				s																																																							sd																										
39	26																																																																		sl											sd																																
39	27																																	sd																																																																												
39	28																																																				sd																																																									
39	29																																																																													sd																																
39	30																		sd																																																																																											
40	1																																																																s		sd																																											
40	2																												sd																																																																																	
40	3																																																																																								s						sd															
40	4																																																																																		sl									sd																		
40	5																																																																sl		sd																																											
40	6																																	s		sd																																																																										
40	7																																																																													sd																																
40	8				s?		sd																																																																																																							
40	9																																																																		sd																																											
40	10																																																							s?			s			sd																																																
40	11																																																																													sd																																
40	12																																														s?			sd																																																												
40	13																																																										sd																																																			
40	14																																														sl			sd																																																												
40	15																																	sd																																																																												
40	16																																																																sd																																													
40	17																																																																		s								sd																																			
40	18																																							s		sd																																																																				
40	19																																												s		sd																																																															
40	20																																																																					sd																																								
40	21																																																																								sd																																					
40	22																																																																													s														sd																		
40	23																																																				s			sd																																																						
40	24																																																										sd																																																			
40	25												s						sd																																																																																											
40	26								s		sd																																																																																																			
40	27																												s					sd																																																																												
40	28														s?										ns																	s?																	sd																																																			
40	29																																																																s?		sd																																											
40	30																																																																													sd																																
41	1														s?				sd																																																											sd																																
41	2																																																																										s			sd																																
41	3								s						sd																																																																																															
41	4																																																																					sd																																								
41	5																																																																													sd																																
41	6																																																	s															sd																																													
41	7														s				sd																																																																																											
41	8										s		sd																																																																																																	
41	9																																																																										sld																																			
41	10								s?		s														sd																																																																																					
41	11				s?				s																															sd																																																																						
41	12																																																																															sd																														
41	13																																																																								sd																																					
41	14																																									sd																																																																				
41	15																									sd																																																																																				
41	16																		sd																																																																																											
41	17																																																	sd																																																												
41	18												s?																		ns														sd																																																																	
41	19																												s					sd																																																																												
41	20																																																																															s				sd																										
41	21																																																																s					sd																																								
41	22																																																							s			sd																																																			
41	23				s						ns																																																								s			sd																																								
41	24				s?				ns																																																					s			sd																																													
41	25																					s							sd																																																																																	
41	26																																																																													s		sd																														
41	27								s?		ns								sl			sd																																																																																								
41	28																																																							sd																																																						
41	29																																									s			sd																																																																	
41	30				sd																																																																																																									
42	1														s				sd																																																																																											
42	2																		s			sd																																																																																								
42	3																																														s?			sd																																																												
42	4																																																										s?			sd																																																
42	5																																			s?				sd																																																																						
42	6																																																																													sl						s								sd																		
42	7																																																																sd																																													
42	8																																																																													s					sd																											
42	9																																																																sl								sd																																					
42	10																																																																																		s	sd																										
42	11																																																																										sd																																			
42	12																																																																													s		sd																														
42	13																																																																		s?			ns								s		sd																														
42	14																								sd																																																																																					
42	15																																																																																																													
42	16																																																																																																													
42	17																																																																																																													
