m	v	0	21	24	27	45	47	69	79	93	103	120	127	141	144	145	169	172	175	189	193	197	216	217	220	242	262	266	267	288	289	291	305	315	330	335	340	356	364	368	380	388	389	407	413	431	436	438	451	461	462	476	482	486	498	509	511	523	534	535	547	556	560	577	582	601	604	609	619	628	633	648	652	672	675	681	693	704	718	724	729	742	748	772	753	778	762	790	798	802	814	817	826	835	844	851	857	863	880	899	907	932	937	955	960	971	979	992	1013	1019
6	9																										sl								s?									s																									s					s?			s											sd																						
6	10																	s?																															sl			s?																	s			sd																																						
6	11																	s?																	sl																				sd																																																							
6	12		s (d + 10min)																																																																																																											
6	13	s				sd																																																																																																								
6	14																																																																	s?			sl					s?			s																	sd																
6	15																	s												sl																																				s			s													sd																												
6	16																	sl												s																						sd																																																										
6	17	sd																																																																																																												
6	18	sd																																																																																																												
6	19					s		sl						sd																																																																																																
6	20									s?		sd																																																																																																		
6	21					s?												s															sl																			sd																																																										
6	22																													s?											ns								sd																																																													
6	23																																		sl																															sd																																												
6	24									sd																																																																																																				
6	25							sl		sld																																																																																																				
6	26																													s?											ns			sl		sd																																																																
6	27																	sl																										sl					sd																																																													
6	28											sd																																																																																																		
6	29																																													sl			s															sd																																														
6	30																													s?			s								s?																															sl		ns			s																				sd													
7	1		sl			ns																								sl																			s						s?											sd																																												
7	2		sl											sld																																																																																																
7	3																	sl												sl																			s																							s?					s										s?	sd																						
7	4					sl				sld																																																																																																				
7	5					sd																																																																																																								
7	6																													s					sd																																																																											
7	7									sl																				sl					s			sd																																																																								
7	8									sd																																																																																																				
7	9							sl																						sl																sd																																																																
7	10																																s?								s					sl																							s?								s																	sd																
7	11																																													sl						sd																																																										
7	12	sl						s		sd																																																																																																				
7	13																																sl								s								sl						s			sd																																																				
7	14					sl				sd																																																																																																				
7	15	s	sd																																																																																																											
7	16											sl																		sd																																																																																
7	17													sl																sl														sd																																																																		
7	18																																		s?			ns			sl											ns																	s?			ns					sl														s						sd													
7	19	sd																																																																																																												
7	20	sd																																																																																																												
7	21									sl		sd																																																																																																		
7	22																													s?											s											ns																				s																						sd																
7	23																	sl												sl																s						ns						s																sl					s									sd																						
7	24																																								sl											sd																																																										
7	25																						sl							sl											sl																									sd																																												
7	26	sd																																																																																																												
7	27							sl				ns																													sd																																																																					
7	28																																								s?			sl														s			sd																																																	
7	29																													s?			ns		sl																				s											sd																																												
7	30																																sl																						s														s																			sd																						
8	1	s?																												s								sl														ns														sd																																												
8	2							sl		s				sd																																																																																																
8	3																			sl										s			sl																			ns																				sl							ns									sl									sd													
8	4							sl		sd																																																														sl																																						
8	5																						sld																																																																																							
8	6																																					s?			s								sl									ns											s																									sd																
8	7							sl				s		sd																																																																																																
8	8	s?	sl							sd																																																																																																				
8	9																										sl			sl			ns					s?			s								sl																				s?										s															sd																
8	10																										sl			sl			ns		s?						s					sd																																																																
8	11																													s?			sl		sd																																																																											
8	12																						sl							sl			ns								sl											ns																	sl																		sd																							
8	13							sl		s				sd																																																																																																
8	14																													s?			sl											s?														ns											s					sd																																				
8	15							s?				sd																																																																																																		
8	16									sd																																																																																																				
8	17																																								s?					ns															sl								s																			sd																						
8	18		sl			ns				s				sd																																																																																																
8	19																						sl							s			sl								s			sd																																																																		
8	20	s				sd																																																																																																								
8	21									sl										ns			s							sl																s			sl																				sl			sd																																						
8	22																						sl												sl									s					sd																																																													
8	23					s?		sl																						sl					sl																										sd																																																	
8	24											s						sd																																																																																												
8	25		s?			ns												sl															sl								s																												s																									sd																
8	26																			sd																																																																																										
8	27																										sl			sl											s								sl																				s																																						sd			
8	28	s				sd																																																																																																								
8	29																																		sl														s																				sd																																									
