death_times,smurf_times,dt,event,smurf_events
77.5833343333333,77.5833343333333,1.0833343333332976,1,1
71.750001,71.750001,1.2500009999999975,1,1
78.000001,78.000001,1.5833343333332976,1,1
80.3333343333333,76.8333333333333,1.8333333333333002,1,1
70.6666676666667,70.6666676666667,1.5833343333333971,1,1
64.250001,64.250001,1.0000009999999975,1,1
76.9166676666667,76.9166676666667,5.666667666666697,1,1
73.000001,73.000001,1.8333343333332976,1,1
83.8333343333333,83.8333343333333,3.0833343333332976,1,1
87.000001,87.000001,1.4166676666666973,1,1
62.6666676666667,62.6666676666667,1.3333343333333971,1,1
82.000001,82.000001,1.4166676666666973,1,1
63.6666676666667,63.6666676666667,1.0000009999999975,1,1
70.500001,70.500001,0.7500009999999975,1,1
91.1666676666667,91.1666676666667,2.333334333333397,1,1
87.750001,79.3333333333333,1.5,1,1
73.000001,73.000001,0.2500009999999975,1,1
71.8333343333333,71.8333343333333,0.7500009999999975,1,1
77.9166676666667,77.9166676666667,1.8333343333333971,1,1
82.5833343333333,74.8333333333333,2.25,1,1
82.4166676666667,82.4166676666667,0.8333343333333971,1,1
87.3333343333333,87.3333343333333,0.5833343333332976,1,1
85.500001,85.500001,1.3333343333332976,1,1
94.1666676666667,94.1666676666667,4.083334333333397,1,1
84.3333343333333,84.3333343333333,0.2500009999999975,1,1
76.4166676666667,75.5,2.1666666666667,1,1
79.500001,79.500001,1.6666676666666973,1,1
68.5833343333333,68.5833343333333,0.7500009999999975,1,1
61.4166676666667,61.4166676666667,1.2500009999999975,1,1
85.8333343333333,85.8333343333333,2.0833343333332976,1,1
86.4166676666667,86.4166676666667,0.6666676666666973,1,1
87.6666676666667,87.6666676666667,0.7500009999999975,1,1
78.000001,78.000001,0.4166676666666973,1,1
74.6666676666667,73.8333333333333,2.4166666666666003,1,1
86.0833343333333,85.9166666666667,2.75,1,1
81.8333343333333,78.3333333333333,4.9166666666666,1,1
69.3333343333333,61.25,1.5833333333333002,1,1
81.0833343333333,81.0833343333333,1.5000009999999975,1,1
76.000001,76.000001,1.5833343333332976,1,1
75.0833343333333,75.0833343333333,0.33333433333329765,1,1
83.8333343333333,83.8333343333333,1.4166676666665978,1,1
80.000001,80.000001,1.3333343333332976,1,1
80.0833343333333,80.0833343333333,1.4166676666665978,1,1
63.8333343333333,63.8333343333333,1.1666676666665978,1,1
78.000001,78.000001,1.1666676666666973,1,1
85.5833343333333,85.5833343333333,1.2500009999999975,1,1
77.8333343333333,77.8333343333333,1.8333343333332976,1,1
90.9166676666667,90.9166676666667,0.3333343333333971,1,1
76.6666676666667,76.6666676666667,1.4166676666666973,1,1
73.000001,73.000001,0.9166676666666973,1,1
80.1666676666667,67.3333333333333,2.4166666666666003,1,1
74.0833343333333,74.0833343333333,1.7500009999999975,1,1
72.6666676666667,72.6666676666667,1.5000009999999975,1,1
66.9166676666667,66.9166676666667,2.1666676666666973,1,1
94.750001,94.4166666666667,1.6666666666666998,1,1
77.000001,77.000001,0.5833343333332976,1,1
75.4166676666667,75.4166676666667,0.5000009999999975,1,1
73.0833343333333,73.0833343333333,0.4166676666665978,1,1
77.750001,77.25,1.9166666666666998,1,1
77.000001,76.5,1.75,1,1
76.250001,76.250001,1.7500009999999975,1,1
71.750001,71.750001,2.7500009999999975,1,1
74.4166676666667,74.4166676666667,1.3333343333333971,1,1
92.6666676666667,92.6666676666667,1.9166676666666973,1,1
73.1666676666667,73.1666676666667,1.0000009999999975,1,1
78.750001,78.750001,2.0833343333332976,1,1
89.1666676666667,86.8333333333333,2.0,1,1
76.1666676666667,76.1666676666667,1.9166676666666973,1,1
88.750001,86.0833333333333,6.1666666666666,1,1
67.0833343333333,67.0833343333333,0.4166676666665978,1,1
75.9166676666667,75.9166676666667,1.2500009999999975,1,1
69.250001,69.250001,0.4166676666666973,1,1
81.1666676666667,79.75,2.75,1,1
84.3333343333333,84.3333343333333,1.5833343333332976,1,1
78.4166676666667,78.4166676666667,0.08333433333339713,1,1
76.5833343333333,76.5833343333333,11.083334333333298,1,1
69.500001,69.500001,0.8333343333332976,1,1
81.750001,81.750001,0.5000009999999975,1,1
76.000001,76.000001,0.9166676666666973,1,1
74.000001,74.000001,2.0000009999999975,1,1
74.8333343333333,74.8333343333333,0.16666766666659782,1,1
80.5833343333333,80.5833343333333,2.5000009999999975,1,1
71.500001,71.500001,2.2500009999999975,1,1
71.8333343333333,69.9166666666667,2.4166666666667,1,1
81.6666676666667,81.6666676666667,1.0833343333333971,1,1
63.4166676666667,63.4166676666667,0.6666676666666973,1,1
73.4166676666667,73.4166676666667,3.5000009999999975,1,1
71.4166676666667,71.4166676666667,0.1666676666666973,1,1
60.6666676666667,60.6666676666667,0.3333343333333971,1,1
76.8333343333333,76.8333343333333,1.4166676666665978,1,1
71.250001,71.250001,1.7500009999999975,1,1
73.9166676666667,73.9166676666667,1.7500009999999975,1,1
84.1666676666667,76.25,2.3333333333333,1,1
68.250001,68.250001,3.2500009999999975,1,1
69.750001,69.750001,1.5833343333332976,1,1
74.500001,74.500001,0.08333433333329765,1,1
85.8333343333333,85.8333343333333,1.8333343333332976,1,1
81.4166676666667,77.4166666666667,2.9166666666667,1,1
72.4166676666667,72.4166676666667,0.5833343333333971,1,1
92.500001,92.500001,0.5000009999999975,1,1
70.750001,70.750001,1.1666676666666973,1,1
83.1666676666667,83.1666676666667,0.9166676666666973,1,1
77.5833343333333,77.5833343333333,2.916667666666598,1,1
75.750001,75.4166666666667,1.5833333333333997,1,1
79.750001,78.75,1.4166666666666998,1,1
83.5833343333333,83.5833343333333,5.333334333333298,1,1
68.750001,67.75,1.8333333333333002,1,1
79.5833343333333,79.5833343333333,2.3333343333332976,1,1
77.6666676666667,77.6666676666667,2.4166676666666973,1,1
82.250001,82.250001,1.8333343333332976,1,1
78.750001,78.750001,0.5833343333332976,1,1
73.1666676666667,73.1666676666667,0.7500009999999975,1,1
75.1666676666667,75.1666676666667,0.1666676666666973,1,1
72.000001,72.000001,0.5000009999999975,1,1
79.1666676666667,79.1666676666667,4.666667666666697,1,1
82.8333343333333,82.8333343333333,2.7500009999999975,1,1
83.5833343333333,83.5833343333333,1.5000009999999975,1,1
72.1666676666667,72.1666676666667,0.6666676666666973,1,1
81.000001,81.000001,2.5833343333332976,1,1
81.750001,81.750001,3.8333343333332976,1,1
76.8333343333333,76.6666666666667,2.1666666666667,1,1
91.250001,91.250001,1.5000009999999975,1,1
86.000001,79.9166666666667,1.6666666666666998,1,1
85.8333343333333,85.8333343333333,0.5833343333332976,1,1
71.5833343333333,71.5833343333333,1.2500009999999975,1,1
88.5833343333333,88.5833343333333,3.2500009999999975,1,1
75.1666676666667,75.1666676666667,1.0833343333333971,1,1
85.000001,80.75,2.5833333333333,1,1
87.3333343333333,87.3333343333333,2.166667666666598,1,1
83.3333343333333,83.3333343333333,1.5000009999999975,1,1
62.9166676666667,62.9166676666667,0.5833343333333971,1,1
73.500001,73.500001,1.3333343333332976,1,1
81.250001,81.250001,1.4166676666666973,1,1
74.6666676666667,74.6666676666667,1.4166676666666973,1,1
67.8333343333333,67.8333343333333,1.0000009999999975,1,1
85.750001,85.750001,1.5000009999999975,1,1
80.0833343333333,80.0833343333333,1.4166676666665978,1,1
80.4166676666667,80.4166676666667,0.7500009999999975,1,1
76.4166676666667,76.4166676666667,1.7500009999999975,1,1
72.6666676666667,72.6666676666667,4.7500009999999975,1,1
93.250001,93.250001,2.1666676666666973,1,1
72.750001,72.750001,1.0000009999999975,1,1
82.750001,82.750001,0.4166676666666973,1,1
82.8333343333333,82.8333343333333,2.2500009999999975,1,1
78.0833343333333,78.0833343333333,1.5833343333332976,1,1
86.8333343333333,86.8333343333333,1.5000009999999975,1,1
87.750001,87.750001,0.2500009999999975,1,1
74.3333343333333,74.3333343333333,0.6666676666665978,1,1
74.3333343333333,74.3333343333333,2.0833343333332976,1,1
82.500001,82.500001,0.8333343333332976,1,1
68.0833343333333,68.0833343333333,0.33333433333329765,1,1
77.500001,77.500001,2.4166676666666973,1,1
77.1666676666667,77.1666676666667,1.0000009999999975,1,1
67.5833343333333,67.5833343333333,0.7500009999999975,1,1
