"","x"
"96",1.565422076216e-08
"97",1.66976735770063e-08
"98",1.59440247866331e-08
"99",1.70356386296067e-08
"100",1.75596405114074e-08
"101",1.7228758265021e-08
"102",1.77255480468744e-08
"103",1.70430512217609e-08
"104",1.69322746196765e-08
"105",1.57006120692232e-08
"106",1.58173051278886e-08
"107",1.59901426992193e-08
"108",1.60216688937288e-08
"109",1.4977777698944e-08
"110",1.63791467447419e-08
"111",1.53188517111793e-08
"112",1.54716566342092e-08
"113",1.4199029177998e-08
"114",1.51134839613969e-08
"115",1.61279933276907e-08
"116",1.52019391537535e-08
"117",1.51820069258627e-08
"118",1.63926462993274e-08
"119",1.58161793134424e-08
"120",1.5751030160861e-08
"121",1.61874978978096e-08
"122",1.51740559637208e-08
"123",1.65133866918516e-08
"124",1.60112753011585e-08
"125",1.67336964242428e-08
"126",1.58764055933624e-08
"127",1.57817233935998e-08
"128",1.56511217377804e-08
"129",1.51175149138922e-08
"130",1.4757280793201e-08
"131",1.53099145249072e-08
"132",1.57504431712891e-08
"133",1.5502798679582e-08
"134",1.43556852425086e-08
"135",1.53639925207776e-08
"136",1.42458813997886e-08
"137",1.57370461967852e-08
"138",1.53575273292746e-08
"139",1.55454506675356e-08
"140",1.60699627694575e-08
"141",1.60660152562161e-08
"142",1.51720350495405e-08
"143",1.45625792260355e-08
"144",1.4247294737628e-08
"145",1.54415325056662e-08
"146",1.50176093282525e-08
"147",1.52036426318715e-08
"148",1.53413676329261e-08
"149",1.57600313148006e-08
"150",1.53240523758463e-08
"151",1.51293159495783e-08
"152",1.45486005087939e-08
"153",1.48780910781291e-08
"154",1.50935279243469e-08
"155",1.59661918541091e-08
"156",1.48298170591737e-08
"157",1.62059227527549e-08
"158",1.59963475434968e-08
"159",1.54990853449037e-08
"160",1.39728351975258e-08
"161",1.6178237855262e-08
"162",1.39272801348576e-08
"163",1.55672030788157e-08
"164",1.53478928680515e-08
"165",1.58409274513699e-08
"166",1.55123648005235e-08
"167",1.49394698063382e-08
"168",1.57504033768238e-08
"169",1.65604817867014e-08
"170",1.57771970002504e-08
"171",1.4590874127572e-08
"172",1.48879017508467e-08
