"","x"
"76",4.18806349992596e-07
"77",4.01571964645101e-07
"78",3.40168392671821e-07
"79",3.5265268024433e-07
"80",4.31386206662459e-07
"81",4.09335646411604e-07
"82",4.52899368795362e-07
"83",4.53549425637082e-07
"84",4.62904196270534e-07
"85",4.50053377772367e-07
"86",4.16084969713934e-07
"87",4.50722657405933e-07
"88",4.44509091185172e-07
"89",4.62007224505301e-07
"90",4.58301960449932e-07
"91",4.72323106697819e-07
"92",5.16411200865637e-07
"93",4.45471978293158e-07
"94",5.16226032037637e-07
"95",4.33484075800706e-07
"96",4.80864460516252e-07
"97",5.07957315223813e-07
"98",4.91803122066118e-07
"99",5.05445120535574e-07
"100",4.29970313977435e-07
"101",4.67622564350848e-07
"102",5.04452346461327e-07
"103",4.56912777598585e-07
"104",4.71021974775492e-07
"105",4.95766797333678e-07
"106",4.49156601474805e-07
"107",4.96373417775002e-07
"108",4.65981561157434e-07
"109",5.09547008062369e-07
"110",5.59369102328733e-07
"111",5.6575629400299e-07
"112",5.56403860444782e-07
"113",5.69385329148023e-07
"114",5.15507483532675e-07
"115",5.74996031974108e-07
"116",5.56625922410905e-07
"117",5.99068430958119e-07
"118",6.21640855842492e-07
"119",6.51151044261085e-07
"120",6.14500129416446e-07
"121",6.22928564050155e-07
"122",6.64194558097327e-07
"123",6.03316673926451e-07
"124",6.81455539965756e-07
"125",6.25430601977085e-07
"126",7.63016518925537e-07
"127",6.50688195376487e-07
"128",7.23633751700306e-07
"129",6.62456046462018e-07
"130",7.30384288241387e-07
"131",6.63458028316496e-07
"132",6.98996049200546e-07
"133",7.03800585546124e-07
"134",7.67545115321419e-07
"135",7.19382028340008e-07
"136",7.53710531197345e-07
"137",7.74342634262235e-07
"138",7.0288641953735e-07
"139",7.67071196365206e-07
"140",7.52781533316062e-07
"141",7.77775129021179e-07
"142",7.81199389948256e-07
"143",7.99161770686182e-07
"144",8.07775425292105e-07
"145",7.67613937649688e-07
"146",8.6895193666598e-07
"147",8.93365348865321e-07
"148",7.37943158199537e-07
"149",8.65028842294378e-07
"150",8.41867602739309e-07
"151",8.62650419910562e-07
"152",8.10851904069112e-07
"153",7.95920171846897e-07
"154",8.76560491936509e-07
"155",9.07447053512715e-07
"156",9.11584573212041e-07
"157",8.7996690213273e-07
"158",8.56259685238995e-07
"159",8.12807665568288e-07
"160",9.05669929826597e-07
"161",8.67047258356492e-07
"162",9.2714364503555e-07
"163",8.20117346539301e-07
"164",8.83280698161382e-07
"165",7.17728266927216e-07
"166",8.64248152586948e-07
"167",7.80835164169335e-07
"168",8.56113105443675e-07
"169",8.29544990048878e-07
"170",8.28704112778526e-07
"171",7.34147238548241e-07
"172",7.21923219606451e-07
"173",7.7185572768743e-07
"174",8.44971224930437e-07
"175",8.05641013226201e-07
"176",7.02555079384507e-07
"177",7.17081189059122e-07
"178",7.60933955398034e-07
"179",7.65547721788607e-07
"180",7.78083048217706e-07
"181",7.25378738346965e-07
"182",7.80104215490778e-07
"183",7.21211232046709e-07
"184",7.50308233590913e-07
"185",7.76067932270113e-07
"186",8.37833436095919e-07
"187",7.37587946141754e-07
"188",8.96448008204766e-07
"189",8.21150284171651e-07
"190",7.86785383133469e-07
"191",8.22961019888195e-07
"192",8.98304480958583e-07
"193",8.24320690051196e-07
"194",8.81494547912368e-07
"195",8.30282082838797e-07
"196",8.77087665141574e-07
"197",9.3954880444525e-07
"198",9.65306412474009e-07
"199",8.96133017681805e-07
"200",9.98265387331178e-07
"201",1.01109305509794e-06
"202",1.03999822388871e-06
"203",1.23516874443522e-06
"204",1.15395574095299e-06
"205",1.15347522822448e-06
"206",1.12991379044927e-06
"207",1.18970099441674e-06
"208",1.24080310158027e-06
"209",1.33462753697064e-06
"210",1.21420796502454e-06
"211",1.28047089168801e-06
"212",1.29527145490566e-06
"213",1.29851765852631e-06
"214",1.41856455966268e-06
"215",1.33837459907009e-06
"216",1.42230459690319e-06
"217",1.50306316679528e-06
"218",1.44306883139117e-06
"219",1.44015637273815e-06
"220",1.48509254544812e-06
"221",1.57550749281856e-06
"222",1.44188389150746e-06
"223",1.57357914580429e-06
"224",1.52579099537361e-06
"225",1.58713068886555e-06
"226",1.71007020147257e-06
"227",1.48691860950236e-06
"228",1.66701968854685e-06
"229",1.71463848695582e-06
"230",1.64149411822706e-06
"231",1.85265416800172e-06
"232",1.8070769286743e-06
"233",1.68714757300288e-06
"234",1.88982187711039e-06
"235",1.70895927443442e-06
"236",1.8309152964035e-06
"237",1.85029467484984e-06
"238",1.86249706219759e-06
"239",1.97404631732196e-06
"240",1.94899186279523e-06
"241",2.22638285703949e-06
"242",2.18851936875318e-06
